isw_id,isw_distance,isw_pi
828,8,0
829,9,0
830,9,0
831,10,0
832,10,0
833,11,0
834,11,0
835,12,0
836,12,0
837,13,0
838,0,0
839,0,0.02
840,1,0
841,1,0
842,2,0
843,2,0
844,3,0
845,3,0
846,-1,0
847,0,0.02
848,0,0
849,1,0
850,1,0
851,2,0
852,2,0
853,3,0
854,3,0.03
855,4,0
856,4,0.01
857,5,0
858,5,0
859,6,0
860,6,0
861,7,0
862,7,0
863,8,0.01
864,8,0
865,9,0.0078740157480315
866,9,0
867,0,0
868,0,0
869,1,0
870,1,0.01
871,2,0
872,2,0.01
873,3,0.01
874,3,0.02
875,4,0
876,4,0
877,5,0
878,5,0
879,6,0
880,6,0
881,7,0
882,7,0
883,8,0
884,8,0.01
885,9,0
886,9,0.02
887,10,0.01
888,10,0.01
889,11,0
890,11,0.01
891,12,0.01
892,12,0
893,13,0
894,13,0
895,0,0
896,0,0
897,1,0
898,1,0
899,2,0
900,2,0
901,3,0
902,0,0.02
903,0,0
904,1,0.02
905,1,0
906,2,0.03
907,2,0.02
908,3,0
909,3,0
910,4,0
911,4,0
912,5,0
913,5,0
914,6,0.02
915,6,0
916,7,0
917,7,0
918,8,0.01
919,8,0.01
920,9,0.00613496932515337
921,0,0
922,0,0
923,1,0.02
924,1,0.01
925,2,0
926,2,0
927,3,0
928,3,0
929,4,0.00671140939597315
930,-1,0
931,0,0
932,0,0.02
933,1,0
934,1,0.05
935,2,0
936,2,0
937,3,0
938,3,0.01
939,4,0
940,4,0
941,5,0
942,5,0
943,6,0
944,6,0
945,7,0.01
946,7,0
947,8,0
948,0,0.02
949,0,0.04
950,1,0.049645390070922
951,-1,0
952,-1,0
953,0,0.0204081632653061
954,0,0.0206185567010309
955,0,0.02
956,0,0
957,1,0
958,1,0.04
959,2,0
960,2,0.02
961,3,0
962,3,0
963,4,0
964,4,0
965,5,0
966,5,0
967,6,0
968,6,0.01
969,7,0
970,7,0.01
971,8,0.01
972,8,0
973,9,0
974,9,0
975,10,0
976,10,0
977,-1,0.024390243902439
978,0,0
979,0,0.02
980,1,0.0267857142857143
981,0,0.02
982,0,0.12
983,1,0.02
984,1,0
985,2,0.01
986,2,0
987,3,0
988,3,0
989,4,0.01
990,4,0
991,5,0
992,5,0.01
993,6,0
994,6,0.01
995,7,0.00578034682080925
996,0,0
997,0,0
998,1,0
999,1,0
1000,2,0
